parameter
weather_code
temperature_2m_mean
temperature_2m_max
temperature_2m_min
apparent_temperature_mean
apparent_temperature_max
apparent_temperature_min
sunrise
sunset
daylight_duration
sunshine_duration
precipitation_sum
rain_sum
snowfall_sum
precipitation_hours
wind_speed_10m_max
wind_gusts_10m_max
wind_direction_10m_dominant
shortwave_radiation_sum
et0_fao_evapotranspiration
soil_temperature_7_to_28cm_mean
soil_temperature_28_to_100cm_mean
soil_temperature_0_to_7cm_mean
soil_temperature_0_to_100cm_mean
soil_moisture_7_to_28cm_mean
soil_moisture_28_to_100cm_mean
soil_moisture_0_to_7cm_mean
soil_moisture_0_to_100cm_mean
vapour_pressure_deficit_max
wet_bulb_temperature_2m_min
wet_bulb_temperature_2m_max
wet_bulb_temperature_2m_mean
pressure_msl_min
pressure_msl_max
snowfall_water_equivalent_sum
pressure_msl_mean
relative_humidity_2m_min
relative_humidity_2m_max
relative_humidity_2m_mean
et0_fao_evapotranspiration_sum
cloud_cover_mean
cloud_cover_max
cloud_cover_min
dew_point_2m_mean
dew_point_2m_max
dew_point_2m_min
